# 浙江电信 IP速度测试结果 - 有效IP 8/14
# 测试时间: 2026-04-01 02:13:07
# IP:端口 速度 连接时间(ms)
115.230.57.152:4023 104.3KB/s (ping:218ms)
123.157.31.182:7912 103.6KB/s (ping:195ms)
123.157.31.182:7911 102.9KB/s (ping:194ms)
183.151.21.12:4023 102.0KB/s (ping:221ms)
183.151.57.212:4023 99.0KB/s (ping:210ms)
115.210.34.144:7911 97.0KB/s (ping:211ms)
60.184.112.120:4023 96.5KB/s (ping:202ms)
125.116.208.116:4043 94.7KB/s (ping:206ms)

# 失败统计 (6个):
# 60.184.115.77:4023 - 链接错误
# 115.216.148.11:8088 - 链接错误
# 125.115.186.35:4023 - 链接错误
# 115.209.216.105:4023 - 链接超时
# 115.213.155.110:4023 - 链接超时
# 125.108.127.57:7778 - 链接超时
