更新时间: 2026-04-04 18:02:18（北京时间）

更新时间,#genre#
2026-04-04 18:02:18,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
湖南卫视,http://58.46.202.137:4023/rtp/239.76.246.101:1234$湖南电信_result_ip
湖南卫视,http://58.46.202.137:4023/rtp/239.76.252.115:9000$湖南电信_result_ip
湖南卫视,http://58.46.202.137:4023/rtp/239.76.253.101:9000$湖南电信_result_ip
湖南卫视,http://58.46.202.137:4023/rtp/239.76.253.214:9000$湖南电信_result_ip
湖南卫视,http://58.46.202.137:4023/rtp/239.76.253.100:9000$湖南电信_result_ip
湖南卫视,http://58.46.202.137:4023/rtp/239.76.253.224:9000$湖南电信_result_ip
湖南卫视,http://58.46.202.137:4023/rtp/239.76.246.100:1234$湖南电信_result_ip
湖南卫视,http://58.46.202.137:4023/rtp/239.76.254.136:9000$湖南电信_result_ip
湖南卫视,http://58.46.202.137:4023/rtp/239.76.246.224:1234$湖南电信_result_ip
湖南卫视,http://58.46.202.137:4023/rtp/239.76.246.63:1234$湖南电信_result_ip
湖南卫视,http://58.46.202.137:4023/rtp/239.76.253.62:9000$湖南电信_result_ip
浙江卫视,http://58.46.202.137:4023/rtp/239.76.246.182:1234$湖南电信_result_ip
浙江卫视,http://58.46.202.137:4023/rtp/239.76.253.182:9000$湖南电信_result_ip
浙江卫视,http://58.46.202.137:4023/rtp/239.76.254.222:9000$湖南电信_result_ip
浙江卫视,http://58.46.202.137:4023/rtp/239.76.254.220:9000$湖南电信_result_ip
江苏卫视,http://58.46.202.137:4023/rtp/239.76.253.181:9000$湖南电信_result_ip
江苏卫视,http://58.46.202.137:4023/rtp/239.76.246.181:1234$湖南电信_result_ip
东方卫视,http://58.46.202.137:4023/rtp/239.76.246.186:1234$湖南电信_result_ip
东方卫视,http://58.46.202.137:4023/rtp/239.76.253.186:9000$湖南电信_result_ip
东方卫视,http://58.46.202.137:4023/rtp/239.76.254.224:9000$湖南电信_result_ip
东方卫视,http://58.46.202.137:4023/rtp/239.76.254.226:9000$湖南电信_result_ip
深圳卫视,http://58.46.202.137:4023/rtp/239.76.246.188:1234$湖南电信_result_ip
深圳卫视,http://58.46.202.137:4023/rtp/239.76.253.188:9000$湖南电信_result_ip
深圳卫视,http://58.46.202.137:4023/rtp/239.76.254.137:9000$湖南电信_result_ip
北京卫视,http://58.46.202.137:4023/rtp/239.76.246.184:1234$湖南电信_result_ip
北京卫视,http://58.46.202.137:4023/rtp/239.76.253.184:9000$湖南电信_result_ip
北京卫视,http://58.46.202.137:4023/rtp/239.76.253.150:9000$湖南电信_result_ip
北京卫视,http://58.46.202.137:4023/rtp/239.76.246.150:1234$湖南电信_result_ip
北京卫视,http://58.46.202.137:4023/rtp/239.76.246.246:1234$湖南电信_result_ip
广东卫视,http://58.46.202.137:4023/rtp/239.76.252.189:9000$湖南电信_result_ip
广东卫视,http://58.46.202.137:4023/rtp/239.76.245.189:1234$湖南电信_result_ip
广东卫视,http://58.46.202.137:4023/rtp/239.76.254.138:9000$湖南电信_result_ip
广西卫视,http://58.46.202.137:4023/rtp/239.76.254.54:9000$湖南电信_result_ip
东南卫视,http://58.46.202.137:4023/rtp/239.76.245.190:1234$湖南电信_result_ip
东南卫视,http://58.46.202.137:4023/rtp/239.76.252.190:9000$湖南电信_result_ip
河北卫视,http://58.46.202.137:4023/rtp/239.76.245.199:1234$湖南电信_result_ip
河北卫视,http://58.46.202.137:4023/rtp/239.76.252.199:9000$湖南电信_result_ip
河南卫视,http://58.46.202.137:4023/rtp/239.76.253.202:9000$湖南电信_result_ip
河南卫视,http://58.46.202.137:4023/rtp/239.76.246.202:1234$湖南电信_result_ip
河南卫视,http://58.46.202.137:4023/rtp/239.76.246.203:1234$湖南电信_result_ip
湖北卫视,http://58.46.202.137:4023/rtp/239.76.246.193:1234$湖南电信_result_ip
湖北卫视,http://58.46.202.137:4023/rtp/239.76.253.193:9000$湖南电信_result_ip
江西卫视,http://58.46.202.137:4023/rtp/239.76.252.225:9000$湖南电信_result_ip
江西卫视,http://58.46.202.137:4023/rtp/239.76.245.225:1234$湖南电信_result_ip
四川卫视,http://58.46.202.137:4023/rtp/239.76.253.91:9000$湖南电信_result_ip
四川卫视,http://58.46.202.137:4023/rtp/239.76.246.91:1234$湖南电信_result_ip
四川卫视,http://58.46.202.137:4023/rtp/239.76.254.234:9000$湖南电信_result_ip
四川卫视,http://58.46.202.137:4023/rtp/239.76.254.232:9000$湖南电信_result_ip
重庆卫视,http://58.46.202.137:4023/rtp/239.76.246.92:1234$湖南电信_result_ip
重庆卫视,http://58.46.202.137:4023/rtp/239.76.253.92:9000$湖南电信_result_ip
贵州卫视,http://58.46.202.137:4023/rtp/239.76.245.198:1234$湖南电信_result_ip
贵州卫视,http://58.46.202.137:4023/rtp/239.76.252.198:9000$湖南电信_result_ip
云南卫视,http://58.46.202.137:4023/rtp/239.76.254.60:9000$湖南电信_result_ip
天津卫视,http://58.46.202.137:4023/rtp/239.76.253.185:9000$湖南电信_result_ip
天津卫视,http://58.46.202.137:4023/rtp/239.76.246.185:1234$湖南电信_result_ip
安徽卫视,http://58.46.202.137:4023/rtp/239.76.245.196:1234$湖南电信_result_ip
安徽卫视,http://58.46.202.137:4023/rtp/239.76.252.196:9000$湖南电信_result_ip
山东卫视,http://58.46.202.137:4023/rtp/239.76.253.195:9000$湖南电信_result_ip
山东卫视,http://58.46.202.137:4023/rtp/239.76.246.195:1234$湖南电信_result_ip
山东卫视,http://58.46.202.137:4023/rtp/239.76.254.228:9000$湖南电信_result_ip
山东卫视,http://58.46.202.137:4023/rtp/239.76.254.230:9000$湖南电信_result_ip
辽宁卫视,http://58.46.202.137:4023/rtp/239.76.245.197:1234$湖南电信_result_ip
辽宁卫视,http://58.46.202.137:4023/rtp/239.76.252.197:9000$湖南电信_result_ip
黑龙江卫视,http://58.46.202.137:4023/rtp/239.76.253.200:9000$湖南电信_result_ip
黑龙江卫视,http://58.46.202.137:4023/rtp/239.76.246.200:1234$湖南电信_result_ip
吉林卫视,http://58.46.202.137:4023/rtp/239.76.253.201:9000$湖南电信_result_ip
吉林卫视,http://58.46.202.137:4023/rtp/239.76.246.201:1234$湖南电信_result_ip
宁夏卫视,http://58.46.202.137:4023/rtp/239.76.252.107:9000$湖南电信_result_ip
宁夏卫视,http://58.46.202.137:4023/rtp/239.76.245.107:1234$湖南电信_result_ip
陕西卫视,http://58.46.202.137:4023/rtp/239.76.254.76:9000$湖南电信_result_ip
甘肃卫视,http://58.46.202.137:4023/rtp/239.76.253.94:9000$湖南电信_result_ip
甘肃卫视,http://58.46.202.137:4023/rtp/239.76.246.94:1234$湖南电信_result_ip
青海卫视,http://58.46.202.137:4023/rtp/239.76.254.132:9000$湖南电信_result_ip
新疆卫视,http://58.46.202.137:4023/rtp/239.76.252.109:9000$湖南电信_result_ip
新疆卫视,http://58.46.202.137:4023/rtp/239.76.245.109:1234$湖南电信_result_ip
西藏卫视,http://58.46.202.137:4023/rtp/239.76.245.108:1234$湖南电信_result_ip
西藏卫视,http://58.46.202.137:4023/rtp/239.76.252.108:9000$湖南电信_result_ip
三沙卫视,http://58.46.202.137:4023/rtp/239.76.246.74:1234$湖南电信_result_ip
三沙卫视,http://58.46.202.137:4023/rtp/239.76.253.74:9000$湖南电信_result_ip
兵团卫视,http://58.46.202.137:4023/rtp/239.76.252.232:9000$湖南电信_result_ip
兵团卫视,http://58.46.202.137:4023/rtp/239.76.245.232:1234$湖南电信_result_ip
山东教育卫视,http://58.46.202.137:4023/rtp/239.76.252.191:9000$湖南电信_result_ip
